Units: ENERGY (Kilo), interval
"Meter ID:" "Date" "Time" "Int.Len" "kWh-Del" "kVARh-Del" "kWh-Rec" "kVARh-Rec"
"            02812245" "01/08/18" "00:15" 15 0,703775000000000 0,223150000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "00:30" 15 0,703975000000000 0,223600000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "00:45" 15 0,705675000000000 0,224300000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "01:00" 15 0,707700000000000 0,225625000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "01:15" 15 0,709025000000000 0,225925000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "01:30" 15 0,709125000000000 0,225650000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "01:45" 15 0,709375000000000 0,225825000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "02:00" 15 0,709875000000000 0,226500000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "02:15" 15 0,710975000000000 0,227475000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "02:30" 15 0,711500000000000 0,227175000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "02:45" 15 0,711925000000000 0,226100000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "03:00" 15 0,712100000000000 0,225325000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "03:15" 15 0,711800000000000 0,225300000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "03:30" 15 0,711775000000000 0,225025000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "03:45" 15 0,711400000000000 0,224675000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "04:00" 15 0,712075000000000 0,226300000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "04:15" 15 0,711950000000000 0,226400000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "04:30" 15 0,711875000000000 0,225700000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "04:45" 15 0,712325000000000 0,226825000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "05:00" 15 0,712550000000000 0,226075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "05:15" 15 0,712050000000000 0,224825000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "05:30" 15 0,712575000000000 0,224450000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "05:45" 15 0,713350000000000 0,224650000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "06:00" 15 0,713825000000000 0,225875000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "06:15" 15 0,713550000000000 0,224100000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "06:30" 15 0,713700000000000 0,225550000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "06:45" 15 0,713850000000000 0,223975000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "07:00" 15 0,713925000000000 0,223375000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "07:15" 15 0,713550000000000 0,222575000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "07:30" 15 0,713800000000000 0,223450000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "07:45" 15 0,713975000000000 0,222225000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "08:00" 15 0,713775000000000 0,222175000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "08:15" 15 0,713075000000000 0,220800000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "08:30" 15 0,712875000000000 0,221700000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "08:45" 15 0,712975000000000 0,220950000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "09:00" 15 0,713425000000000 0,222700000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "09:15" 15 0,713875000000000 0,221050000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "09:30" 15 0,713275000000000 0,220500000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "09:45" 15 0,713450000000000 0,220325000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "10:00" 15 0,713525000000000 0,221550000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "10:15" 15 0,713550000000000 0,221075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "10:30" 15 0,713600000000000 0,221575000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "10:45" 15 0,713575000000000 0,221825000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "11:00" 15 0,713225000000000 0,221025000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "11:15" 15 0,713425000000000 0,221100000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "11:30" 15 0,713600000000000 0,221425000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "11:45" 15 0,713650000000000 0,221100000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "12:00" 15 0,713925000000000 0,221450000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "12:15" 15 0,714375000000000 0,224050000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "12:30" 15 0,714475000000000 0,225300000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "12:45" 15 0,714500000000000 0,226075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "13:00" 15 0,714675000000000 0,225675000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "13:15" 15 0,715075000000000 0,226650000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "13:30" 15 0,714950000000000 0,227450000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "13:45" 15 0,714600000000000 0,226425000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "14:00" 15 0,714900000000000 0,225625000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "14:15" 15 0,714625000000000 0,225225000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "14:30" 15 0,714375000000000 0,224850000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "14:45" 15 0,715575000000000 0,225675000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "15:00" 15 0,715725000000000 0,227575000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "15:15" 15 0,716425000000000 0,229300000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "15:30" 15 0,716700000000000 0,228325000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "15:45" 15 0,717425000000000 0,224075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "16:00" 15 0,713850000000000 0,217925000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "16:15" 15 0,713950000000000 0,218600000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "16:30" 15 0,713425000000000 0,220050000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "16:45" 15 0,713825000000000 0,220450000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "17:00" 15 0,714075000000000 0,220225000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "17:15" 15 0,716125000000000 0,222950000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "17:30" 15 0,715650000000000 0,222900000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "17:45" 15 0,099450000000000 0,031125000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "18:00" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "18:15" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "18:30" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "18:45" 15 0,000025000000000 0,000100000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "19:00" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "19:15" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "19:30" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "19:45" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "20:00" 15 0,000050000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "20:15" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "20:30" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "20:45" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "21:00" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "21:15" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "21:30" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "21:45" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "22:00" 15 0,000025000000000 0,000100000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "22:15" 15 0,000050000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "22:30" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "22:45" 15 0,000025000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "23:00" 15 0,000025000000000 0,000100000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "23:15" 15 0,000050000000000 0,000075000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "23:30" 15 0,113950000000000 0,042775000000000 0,000000000000000 0,000025000000000
"            02812245" "01/08/18" "23:45" 15 0,680075000000000 0,211625000000000 0,000000000000000 0,000000000000000
"            02812245" "01/08/18" "24:00" 15 0,701450000000000 0,219675000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "00:15" 15 0,703650000000000 0,220650000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "00:30" 15 0,705700000000000 0,221925000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "00:45" 15 0,709975000000000 0,223575000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "01:00" 15 0,710275000000000 0,223550000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "01:15" 15 0,711675000000000 0,224100000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "01:30" 15 0,711450000000000 0,222825000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "01:45" 15 0,712650000000000 0,224800000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "02:00" 15 0,713300000000000 0,225675000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "02:15" 15 0,714250000000000 0,226450000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "02:30" 15 0,714175000000000 0,226675000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "02:45" 15 0,713625000000000 0,225625000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "03:00" 15 0,713425000000000 0,225200000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "03:15" 15 0,710150000000000 0,224075000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "03:30" 15 0,707275000000000 0,223050000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "03:45" 15 0,706875000000000 0,221950000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "04:00" 15 0,706350000000000 0,220325000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "04:15" 15 0,706825000000000 0,221025000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "04:30" 15 0,707025000000000 0,220550000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "04:45" 15 0,707250000000000 0,219975000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "05:00" 15 0,706900000000000 0,220650000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "05:15" 15 0,706075000000000 0,220825000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "05:30" 15 0,706925000000000 0,221150000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "05:45" 15 0,707300000000000 0,220200000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "06:00" 15 0,707275000000000 0,220575000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "06:15" 15 0,707925000000000 0,221000000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "06:30" 15 0,706925000000000 0,221475000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "06:45" 15 0,708675000000000 0,220475000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "07:00" 15 0,707975000000000 0,219725000000000 0,000000000000000 0,000000000000000
"            02812245" "02/08/18" "07:15" 15 0,706625000000000 0,218550000000000 0,000000000000000 0,000000000000000
